# gen L_t L_1 L_2 L_e_train L_f_train L_e_test L_f_test
200 3.15178 0.08163 0.11630 2.07968 1.07190 1.87692 1.17219
200 3.14958 0.08272 0.11626 2.08500 1.06438 1.88218 1.17581
200 3.16155 0.08249 0.11562 2.08665 1.07470 1.88060 1.16983
200 3.15426 0.08280 0.11659 2.08462 1.06943 1.87577 1.17735
200 3.14815 0.08516 0.11880 2.08389 1.06406 1.87828 1.16395
200 3.15274 0.08207 0.11576 2.08172 1.07082 1.88058 1.16941
200 3.14580 0.08183 0.11595 2.07421 1.07140 1.86742 1.18067
200 3.14202 0.08319 0.11618 2.07922 1.06260 1.87868 1.16794
300 2.97977 0.10043 0.14490 1.98484 0.99468 1.81882 1.17958
300 2.97960 0.09895 0.14418 1.98937 0.98999 1.82560 1.17679
300 2.98938 0.09953 0.14296 2.00213 0.98701 1.82975 1.17526
300 2.97493 0.09974 0.14384 1.98738 0.98730 1.82126 1.17329
300 2.98381 0.10146 0.14542 1.99337 0.99019 1.82518 1.17278
300 2.98465 0.10010 0.14528 1.99537 0.98903 1.82474 1.17041
300 2.98922 0.09914 0.14330 1.98740 1.00158 1.81605 1.19977
300 2.98725 0.10060 0.14503 1.99869 0.98831 1.82573 1.18391
300 2.98147 0.10010 0.14462 1.98586 0.99536 1.81793 1.17071
300 2.98940 0.10083 0.14454 1.99424 0.99492 1.82036 1.18564
300 2.98473 0.09924 0.14453 1.99226 0.99223 1.81985 1.18999
300 2.98636 0.09959 0.14372 1.99961 0.98651 1.82949 1.16335
300 2.98089 0.09948 0.14385 1.99391 0.98674 1.82386 1.16342
300 2.98535 0.09804 0.14255 1.99409 0.99102 1.82181 1.18976
300 2.99146 0.10061 0.14400 1.99249 0.99873 1.82193 1.18006
300 2.98004 0.10058 0.14479 1.99124 0.98855 1.82255 1.17872
300 2.97097 0.10030 0.14571 1.99163 0.97910 1.82440 1.17346
300 2.98627 0.10049 0.14436 1.99414 0.99188 1.82501 1.17574
300 2.98528 0.10051 0.14392 1.99228 0.99275 1.82083 1.18705
300 2.98516 0.10202 0.14509 1.99642 0.98850 1.82658 1.17514
300 2.98430 0.09940 0.14368 1.98638 0.99768 1.81626 1.18476
300 2.99027 0.10028 0.14354 1.99579 0.99424 1.82538 1.18146
300 2.97931 0.09993 0.14522 1.98379 0.99527 1.81836 1.19108
300 2.99285 0.10092 0.14474 1.99953 0.99308 1.82692 1.18286
300 2.97999 0.10017 0.14419 1.98570 0.99404 1.81697 1.18193
300 2.98492 0.09911 0.14367 1.98662 0.99806 1.81919 1.20666
300 2.98017 0.09778 0.14332 1.99064 0.98930 1.82117 1.18495
300 2.98470 0.09962 0.14391 1.98903 0.99543 1.81597 1.19438
300 2.98217 0.10013 0.14460 1.98476 0.99716 1.81995 1.19531
300 2.98366 0.10082 0.14531 1.98627 0.99714 1.82026 1.18115
300 2.98223 0.10021 0.14447 1.99431 0.98768 1.82690 1.17347
300 2.98219 0.09986 0.14413 1.98663 0.99531 1.81808 1.18524
300 2.97998 0.10033 0.14443 1.99109 0.98865 1.82223 1.17692
300 2.98725 0.10040 0.14528 1.98187 1.00513 1.81921 1.17837
300 2.97976 0.09950 0.14361 2.00022 0.97929 1.83165 1.17390
300 2.97654 0.10018 0.14494 1.98881 0.98749 1.82533 1.17543
300 2.98401 0.10029 0.14485 1.99086 0.99291 1.81686 1.19317
300 2.99520 0.10034 0.14314 1.99943 0.99553 1.82399 1.18024
300 2.98626 0.09787 0.14267 1.99737 0.98865 1.82518 1.17881
300 2.97898 0.10116 0.14539 1.98563 0.99311 1.81876 1.18760
400 2.82094 0.11272 0.17246 1.98169 0.83897 1.79104 1.18188
400 2.82284 0.11178 0.17214 1.98489 0.83767 1.78859 1.19215
400 2.81850 0.11343 0.17384 1.97380 0.84441 1.78272 1.19684
400 2.81862 0.11204 0.17343 1.98124 0.83710 1.79249 1.17575
400 2.81749 0.11186 0.17201 1.97393 0.84327 1.78356 1.19290
400 2.82319 0.11181 0.17237 1.97939 0.84352 1.79136 1.19037
400 2.82712 0.11224 0.17099 1.98380 0.84304 1.78854 1.20777
400 2.82428 0.11369 0.17250 1.97969 0.84429 1.79016 1.17693
400 2.81963 0.11286 0.17176 1.97905 0.84029 1.78892 1.19319
400 2.82148 0.11164 0.17162 1.97932 0.84188 1.78856 1.19212
400 2.81933 0.11245 0.17099 1.97888 0.84017 1.79004 1.19434
400 2.82708 0.11157 0.17227 1.98264 0.84415 1.78981 1.17732
400 2.82265 0.11329 0.17279 1.98264 0.83972 1.78701 1.19178
400 2.82057 0.11071 0.17174 1.98294 0.83735 1.79020 1.18958
400 2.82076 0.11259 0.17180 1.97572 0.84476 1.78972 1.18674
400 2.82237 0.11376 0.17245 1.98132 0.84077 1.79013 1.19205
400 2.81470 0.11351 0.17416 1.97100 0.84341 1.78395 1.19251
400 2.82155 0.11037 0.17048 1.98320 0.83807 1.78612 1.19472
400 2.82034 0.11207 0.17224 1.97429 0.84576 1.78441 1.18633
400 2.81810 0.11333 0.17414 1.97680 0.84102 1.78879 1.18681
400 2.82226 0.11191 0.17274 1.97921 0.84277 1.78835 1.18383
400 2.82519 0.11000 0.17007 1.98192 0.84299 1.78881 1.19666
400 2.81870 0.11432 0.17478 1.97705 0.84135 1.78808 1.17930
400 2.82263 0.11256 0.17290 1.98161 0.84073 1.78977 1.18945
400 2.81916 0.11281 0.17335 1.98072 0.83815 1.79373 1.17679
400 2.81822 0.11294 0.17427 1.97607 0.84186 1.78875 1.18849
400 2.82079 0.11194 0.17236 1.97891 0.84160 1.79113 1.18727
400 2.82574 0.11383 0.17204 1.98309 0.84237 1.79327 1.19767
400 2.82402 0.11241 0.17218 1.98568 0.83806 1.79303 1.18469
400 2.82781 0.11352 0.17249 1.98321 0.84431 1.78849 1.18276
400 2.82513 0.11219 0.17070 1.98521 0.83964 1.79273 1.18329
400 2.81932 0.11206 0.17179 1.97781 0.84124 1.78780 1.19030
400 2.81801 0.11291 0.17294 1.97368 0.84405 1.78765 1.18390
400 2.82626 0.11282 0.17137 1.98385 0.84213 1.79053 1.18373
400 2.82089 0.11186 0.17201 1.98026 0.84035 1.79445 1.17809
400 2.82008 0.11265 0.17240 1.98067 0.83912 1.78960 1.19053
400 2.81848 0.11199 0.17154 1.97458 0.84362 1.79220 1.17907
400 2.81927 0.11334 0.17340 1.97762 0.84136 1.79352 1.18488
400 2.82486 0.11154 0.17072 1.98750 0.83708 1.79284 1.18128
400 2.82931 0.11245 0.17227 1.98882 0.84020 1.79120 1.18604
